"label"	"post"	"post_augmented"
"ENTJ"	"hey everyone. i just wanna get started with posting so here i am. i've always been curious about personality typology and would like to type people better. i think i'm <mbti> 8w7, but i'm still...'"	"Hey everyone i. just wanna get started with so posting here i am. i ve ' always been curious personality about typology and would to like type people better i. i think ' m <mbti> 8w7, but i m ' still. .. '"
"ENTJ"	"you know what really sucks? people being completely unable of the above. it doesn't suck in the sense that they suck as persons, but in the sense that they were born the way they are and are unable..."	"you know what sucks really people? being completely of unable the above. it doesn t ' in suck sense the that they suck persons as, but in the sense that were born they the they way are and are unable. .."
"ENTJ"	"so why don't you just say hey bio, cut the typing of people to me directly.... instead of making passive-aggressive comments that are obviously directed toward me? i'm not gonna stop either way...."	"so why don ' t you just hey say bio, cut the typing of people to me directly. .. . instead making of passive - aggressive comments that obviously are directed toward me i? ' m not gonna stop way. either. .."
"ENTJ"	"i second that. at first u will feel lonely, but then u will find somebody approach u n u will find someone who will back u up."	"i that second. first at will u feel lonely, but then u find will somebody u approach u n find will someone will who back up u."
"ENTJ"	"opinion: people who think money can't buy happiness either lack knowledge about themselves, or lack knowledge about the possibilities of technology. or they don't have enough money."	"opinion: people think who can money ' t buy either happiness knowledge lack about themselves or, lack knowledge about the of possibilities technology. or they don ' t enough have. money"
"ENTJ"	"extremely narrow-minded twitter posts such as this: 297122 if you find this statement thought-provoking then by all means, leave your current living situation and find a cool patch of grass to..."	"narrow - extremely minded twitter posts such this as if: 297122 find you statement this thought - provoking then by all means, your leave current situation living and find a patch cool of grass to. .."
"ENTJ"	"and yet, the point still remains -- the world doesn't tolerate unfiltered opinions and you have to adjust to that sooner or later. there's a line of what is acceptable in society. you seem to have..."	"and yet, the point still remains - - world the doesn t ' tolerate unfiltered and opinions you to have that adjust sooner to or later. there ' s a line of what is acceptable in society. you to seem have. .."
"ENTJ"	"hahaha you are too funny! if you wanna talk big picture like that then you gotta talk about the big rip or the big freeze aka the end of the universe itself! on a more worldly note in the..."	"You are hahaha funny too! if wanna you talk big picture that like then you talk gotta about big the rip the or big freeze aka the end of the itself universe! on a more worldly note in. the.."
"ENTJ"	"soft skills are temporary, once they realize that logical programmers make more sense once physical workers are replaced. there is a reason why the soft skills of hr have been outsourced for a..."	"skills are soft temporary, once realize that they logical programmers more make sense once workers physical are replaced. there is reason a why the soft of skills hr have been for outsourced. a.."
"ENTJ"	"how did you know ae1905? the mascot for our team was actually the carebears! i wore a purple uniform with pink hearts all about! a good heart to heart gets in the head of any wr. crying on each..."	"how did you ae1905 know? the mascot for team our was actually the carebears! wore i a purple uniform with hearts pink about all! a good heart to heart in gets head the any of wr. crying on each. .."
"ENTJ"	"i hypothesize that adhd is more psychological than phisological. if that first premis is true then i proceed to hypothesize that some mindfulness and mastery of the mind can cure it. being addicted..."	"i adhd hypothesize that is psychological than phisological more. that if first premis is true then i to proceed hypothesize that some mindfulness and mastery the of mind can it cure. being. addicted.."
"ENTJ"	"i remember as a young kid, like the age of 7 or 8 when one's parents doesn't allow one outside the front yard, that i used to want to go and explore like crazy. so one day, myself and my new..."	"Remember I as a young kid, like age the 7 of or 8 when s one ' doesn parents t ' allow one outside the yard front, that i used to want to go and explore like crazy. one so day, myself my and new. .."
"ENTJ"	"i think that questioning what i am at all is... we will call it silly. haha i could imagine that some people could get some sort of satisfaction about pretending to be a certain type. you know,..."	"i that think what questioning i at am is all. .. we will call it silly. haha i could that imagine some people get could some sort of satisfaction about to pretending be a certain type. know you, ..."
"ENTJ"	"yes, through personal spiritual experiences. as they say, i felt i was touched and have been spiritual since. i wouldn't say religious, since a lot of the dogma bewilder me but to each his own."	"yes, through spiritual personal experiences. they as say, i felt i was touched have and been spiritual since. i wouldn ' say t religious, a since lot of the dogma bewilder me but to his each own."
"ENTJ"	"no, not necessarily large scale, the holocaust is always a classic go to type movie for perpetual dooming devastating sadness. its really both that does it for me... its like... i have a deep..."	", no necessarily not large scale, holocaust the is always classic a go movie to type dooming for perpetual devastating sadness. its really both does that it for. me. . its like. .. i have a deep. .."
"ENTJ"	"it's actually pretty common for entjs to 'avoid people' since their dominant function isn't really about relating to people in a traditional sense. the way they express their extroverted tendencies..."	"' it s actually pretty for common to entjs ' avoid people ' since dominant their isn function ' t about really relating to people in a sense traditional. way the express they their tendencies extroverted. .."
"ENTJ"	"the whole movement is characteristic of the mob. opinionated but confused, blundering, aimless, and without solutions. they're waiting for someone to lead them. it is this leader who i will take..."	"the whole movement is characteristic the mob of. opinionated but, confused blundering, , and aimless without solutions. they re ' waiting for lead someone them to. is it this leader who i will take. .."
"ENTJ"	"i experienced the same thing. most of my teachers used a weighted grading system, making tests up to 65% of the classes overall grade. i learned quickly that i didn't need to do most of my homework..."	"i the experienced thing same. of my most teachers used a weighted system grading, making tests up to% 65 of the classes overall grade. learned i quickly that didn i ' t need to do most my of. homework.."
"ENTJ"	"i love the idea of a list of activities for people to choose from! i make up menu plans and put them on the fridge and let the kids pick from that list, so they don't feel like the are on a..."	"love I the idea a of list of activities people for to choose from! i make up menu plans put and on them the fridge and let the kids from pick list that, so don they ' t feel like the are on a. .."
"ENTJ"	"depends on the bond, yes. had a childhood friend that i hadn't seen in 2 years, but he was my neighbour and friend for years. he took suicide. didn't feel like driving 45 minutes to attend his..."	"depends on the yes bond, . a had childhood friend i that hadn ' t seen in 2 years, but was he my neighbour and friend for. years he took suicide. ' didn feel like t driving 45 minutes attend to his. .."
"ENTJ"	"to quote, for further information: although, to some extent, eights fear physical harm, far more important is their fear of being disempowered or controlled in some way. eights are..."	"to quote, further for information although: , some to, extent eights physical fear harm, far more important is of their fear being disempowered controlled or in way some eights. are. .."
"ENTJ"	"the way i experience ni is in visions, which i then communicate as metaphors. for instance we needed to create a process which spawns off child processes which come back to the parent. but the..."	"the way experience ni i is in visions, i which then as communicate metaphors. instance for needed we to create a process spawns which off come child processes which back to the parent. but the. .."
"ENTJ"	"oh jeezzz......just an fyi... my <mbti> has infiltrated this thread. he's lurking and reading.... all hell breaks loose. everything is now thrown out including the kitchen sink. time to break..."	"Oh jeezzz. .. .. . an just fyi. .. <mbti> has my infiltrated this thread. ' he s lurking and. reading. .. all hell breaks loose is. everything now out thrown including the kitchen sink. time to break. .."
"ENTJ"	"uh why hasnt anyone in this thread bothered with functions? that will determine your type, not do you get drained by people or are you organized, etc? have you checked out whether or not you..."	"hasnt uh why anyone in this thread bothered functions with? that will determine your, type do not you drained get by people or are organized you, etc? have you checked out or whether not you. .."
"ENTJ"	"i drive 2 hours to a building for a meeting after hawking email for cancellations all morning... and 2 minutes before it starts, it's rescheduled to tomorrow. ffffffff dial in it is."	"drive I hours 2 a to building a for meeting after email hawking for cancellations morning all. .. and minutes 2 starts before it, ' it s rescheduled to tomorrow. ffffffff dial in it is."
"ENTJ"	"attractions based on abstract concepts are not appealing for my tastes as well. i'm most definitely not a fan of putting unnecessary boundaries in my life such as these. treasures can be found in..."	"attractions based on concepts abstract are not appealing my for tastes as. well i ' m most a definitely not putting fan of unnecessary boundaries in my life such as these. be treasures found can in. .."
"ENTJ"	"went back and realized i am 8w7 and the description is ridiculous. materialistic. prone to addiction.highly assertive. risk-taking.. its amazing how accurate these things can be.. i mean..."	"back went and realized i 8w7 am and description the ridiculous is materialistic. . prone addiction to. highly assertive risk. -. taking. amazing its how accurate these things be can. . i mean. .."
"ENTJ"	"my gut feeling prompts me to apply logic to it. example; gut/intuition; i think this is the best course of actions, because i think the other path will possibly make my plans go awry logic;..."	"My gut prompts feeling me to apply logic to it. ; example gut / intuition; i think this is the best of course, actions because i think the other path will make possibly my plans awry go logic; ..."
"ENTJ"	"i agree with these typings, except for donna. she doesn't seem very <mbti> to me. also, i think kitty could go either e or i, but i lean towards e."	"with I these agree typings, for donna except. she doesn ' t very seem <mbti> me to. , also i think kitty could go e either i or, but i lean towards e."
"ENTJ"	"yes indeed. i find that if i show the real me, people will find me very strange and avoid me - so i act accordingly. i only do the chameleon-personality if i find i have something to gain from the..."	"yes indeed. i find that if show i real the me, people will find very me and strange avoid me - so act i. i accordingly only do chameleon the - personality if find i i have to something gain from the. .."
"ENTJ"	"not knowing a website link, or doing research and finding more data. there's more pages than just the first page of a search result."	"not knowing website link a or, doing research and more finding data there. ' more s pages than just the first page of a result search."
"ENTJ"	"you're a te dominant. 1. focus on external evidence to evaluate new ideas. 2. focus on being right, combined with looking forward to being wrong. 3. focus on achievements and results. 4. i'm..."	"you ' re a te dominant. 1. focus external on evidence to evaluate new. ideas. 2 focus being on, right combined looking with forward to being. wrong 3. focus on achievements and results 4. . i ' m. .."
"ENTJ"	"urm, it's the other way around. have you ever met an <mbti> that blended into a crowd of people? not a chance, them along with most other sjs are born leaders/organizers. where did you get the idea..."	"urm, it ' the s other way around. have you ever met an <mbti> that blended into of a crowd people? not a chance, them with along other most sjs born are leaders organizers /. where you did get the idea. .."
"ENTJ"	"eh go buy a strap on. good enough. :d <url> things. <url> and me too! spread the word! you can't stop the signal!!!"	"eh go buy a strap on good. enough. : <d> url. things <url> and me too! spread the word! can you ' t stop the! signal!!"
"ENTJ"	"um, totally off rofl. i am female, 30, no opinion on my own intelligence although above-average seems accurate. i think i have both liberal and conservative values. and i'm an <mbti>. lol gender:..."	"um, off rofl totally i. female am, 30, no opinion on own intelligence my although above - average accurate seems. think i i have both liberal and conservative values. and i ' an m <mbti>. gender lol: ..."
"ENTJ"	"<url> is a hot and stimulating debate! keep it up also, it seems to be answering the orginal question posed by the thread."	"Url <> is a hot stimulating debate and! keep it also up it, to seems be answering the question orginal the posed by thread."
"ENTJ"	"i love (and hate) politics, and whenever i assess a politician i put myself in their position and the big-picture becomes more clear. with all the different views held by people it is difficult to..."	"i love (and hate) politics and, whenever assess i a politician i myself put in their position the and big - becomes more picture clear. with all the different held views by people it is to difficult. .."
"ENTJ"	"lol, hillary as as 1 as they come. that she's ruthless and power hungry is not something exclusive to other types, and typing her on her political ambitions and career alone is a bad idea. people who..."	"lol, hillary as as 1 as they. come she that ' ruthless s and power hungry is not something to exclusive other, types and typing on her political her ambitions and alone career is a bad idea. people who. .."
"ENTJ"	"ha, it's a piece of cake! i can give some relevant cues. try working from the premis that you are a soul and that your mind is a just like your body. and just like a muscle you can instantly stop..."	", ha ' it a s piece of cake! i give can some relevant cues. try working from the premis you that a are soul and that your mind is just a like body your. and just like a muscle you can instantly stop. .."
