"label"	"post"	"post_augmented"
"ENTJ"	"hey everyone. i just wanna get started with posting so here i am. i've always been curious about personality typology and would like to type people better. i think i'm <mbti> 8w7, but i'm still...'"	"hey. i just wanna with posting so i. i ' ve been curious about personality typology and would like to type people better. i ' <mbti>, but i ' m still. .. '"
"ENTJ"	"you know what really sucks? people being completely unable of the above. it doesn't suck in the sense that they suck as persons, but in the sense that they were born the way they are and are unable..."	"you know sucks? people being completely unable above. it ' suck the sense that they suck as persons, but in the sense were born way they are and are unable. .."
"ENTJ"	"so why don't you just say hey bio, cut the typing of people to me directly.... instead of making passive-aggressive comments that are obviously directed toward me? i'm not gonna stop either way...."	"so why don ' t you just say hey bio, the typing of to. .. . instead making passive - aggressive obviously directed toward? i ' not gonna stop either way. ..."
"ENTJ"	"i second that. at first u will feel lonely, but then u will find somebody approach u n u will find someone who will back u up."	"i that. first will feel lonely, but u will somebody approach u n u someone who will u."
"ENTJ"	"opinion: people who think money can't buy happiness either lack knowledge about themselves, or lack knowledge about the possibilities of technology. or they don't have enough money."	"opinion: people who money can ' buy happiness knowledge about, knowledge about the of technology. or they ' have enough money."
"ENTJ"	"extremely narrow-minded twitter posts such as this: 297122 if you find this statement thought-provoking then by all means, leave your current living situation and find a cool patch of grass to..."	"narrow - minded posts such as this: if find this statement thought - provoking then by means, living situation and find a cool of to. .."
"ENTJ"	"and yet, the point still remains -- the world doesn't tolerate unfiltered opinions and you have to adjust to that sooner or later. there's a line of what is acceptable in society. you seem to have..."	"and yet, the point still remains - - world doesn ' t tolerate opinions and you to adjust to sooner or later. there ' s a what is acceptable society. seem. .."
"ENTJ"	"hahaha you are too funny! if you wanna talk big picture like that then you gotta talk about the big rip or the big freeze aka the end of the universe itself! on a more worldly note in the..."	"hahaha are! if you wanna big picture like that gotta talk about big rip or the big freeze aka end of the universe itself! on a note in the. .."
"ENTJ"	"soft skills are temporary, once they realize that logical programmers make more sense once physical workers are replaced. there is a reason why the soft skills of hr have been outsourced for a..."	"skills, once realize that programmers make more once physical workers replaced. there is a why the soft skills of been outsourced for a. .."
"ENTJ"	"how did you know ae1905? the mascot for our team was actually the carebears! i wore a purple uniform with pink hearts all about! a good heart to heart gets in the head of any wr. crying on each..."	"how? the mascot for our team was actually the carebears! wore a uniform with pink hearts all about! heart to heart gets in head of any. crying on each. .."
