"post"	"labels"	"I"	"N"	"F"	"P"	"post_augmented"
"mechanic's okay, never had problems with it, although i remember someone saying diagnostic, and i'd say that term's better. </s> if you were to choose your own type, which type would it be? </s> i imagine one could mistype as the other if they were confused about pvj or svn. and yes, neglecting food is a thing. i've done that as well, although since i'm not as busy it hasn't happened as... </s> i'd say so. i really don't know why or how, but i just see a lot of <mbti>'s being drawn to <mbti>'s around here. i've seen the many questions, it's pretty odd. </s> i bought a bunch of flannel t-shirts over the summer, and it's what i wear to school now, along with black pants. i also plan on perhaps getting a crop top or two when i reach my goal weight... </s> i'm more content than happy. only time i'm happy is when i complete a goal, and when i exercise. pretty much it. </s> akin to what barathrum said, what feelings? for any moment they do appear, i only keep them for myself because i want to solve it first. there are two scenarios for which i share my feelings... </s> not the most direct of lies, but definetely interesting. in middle school i was sitting on on blue tables. friend 1 of right was to the right of me, and then there were two other girls, one... </s> perhaps in dreamland, that trick worked. this is not dreamland. thought you knew about the virus that will get in the way of it's technical problem-solving abilities. the whole folder was... </s> it's basically you cut an eggplant in half, take some of the inside out, and fill it in with whatever the hell you want. once you fry your eggplant and put the filling in, you put it in the oven to... </s> *opens file love_infp.gif* . . . . 386922 </s> i've never met an <mbti> in real life either, but considering you're type i'd probably get along with you. i've always loved science since i was little, i love the various branches, but biology has... </s> those statistics i've heard about people crying 5 times a month on average i'm wondering what the hell is going on with their lives because i never cry. the most i'd do is once a year now, but..."	"15"	"1"	"0"	"0"	"1"	"mechanic ' s okay, never had problems with it, and i remember someone in diagnostic, and i ' ll say that term ' s better. </s> if you were able choose your own life, which type would it be? </s> i imagine i could mistype with the other if they were confused about pvj or svn. and yes, neglecting food is a thing. i ' ve done that as before, although since i ' m still too busy it hasn ' n happened as... </s> i ' d say yes. i really don ' t say why or how, but i just see a lot of [UNK] ' s being drawn to [UNK] ' s around here. i ' m asked such many questions, it ' s pretty odd. </s> i bought another bunch of flannel t - shirts over the summer, and it ' s what i wear after work now, along with black pants. i also object to perhaps getting a crop top or two when i reach my goal...... </s> i ' m more content than happy. only time i ' m content comes when i complete a goal, and when i exercise. pretty damn it. </s> compared to what he said, what feelings? and any moment they do appear, i only know them for myself because i want to solve it first. there are two reasons for which i share my feelings... </s> not the most direct of ones, but definetely honest. in my school i was sitting on on blue tables. friend 1 the right was to the front of me, and then there were two other girls, one... </s> perhaps in dreamland, that never worked. which is not dreamland. thought you knew about the things that will get in the path of it ' s technical problem - solve abilities. the whole folder was... </s> it ' s basically you cut an eggplant in half, take all of the stuff out, then fill it in with whatever the hell you need. once you cut your eggplant and put the filling in, you throw it in the oven to... </s> * opens file love _ u. com *.... 386922 </s> you ' ve never met an [UNK] in real life either, but whenever you ' re type i ' d probably sing along with you. i ' ve always loved chemistry since i was little, i love the other branches, but biology has... </s> those statistics i ' d heard about people crying 5 times a month on average i ' m wondering what the fuck is going on about their lives because i never cry. the most i ' d do that once a year though, but..."
"truee,, hell yeah, we pass the test without using our brain to the maximum capacity. i'm imagining what we can accomplised when we used our brain into the max capacity. maybe we can rule the world.... </s> i know what you mean. for example i'm working in the hospital as med-school student, a place where i need to respons human emotion. in my work place, i do caring to my patient, listen to their... </s> but somehow stil manage to have a good mark, well at least pass the test.. hahahaha </s> hopefully i'm lucky enough to meet some <mbti> in my life :) </s> so truueee, hahaha.. different case though. you know, test.. while my friend ready to cry her heart out because she 'think' she can't do the test because she can't answer 10 question out of 100, and... </s> really? hahahaha,, someone says that there're 7 people who's identical with us.. </s> 301514 photo from 2 years ago,, </s> 301482 i found this picture awesome. when we all feeling fucked up actually but we have to smile. the hardest thing for me is how to keep my face straight/smile when i really want to punch someone... </s> hi there, for the first time i'm so confused about myself but then i took the test and then i realize that i'm just <mbti>. *thanks for personality test out there.. i'm 24 years old, female. live... </s> it's java island, east jave to be precised. it's near bali island </s> thank you seriously guys, you've open my eyes. and it's nice to finally talk to someone who will take me seriously. people who can talk to me straighfowardly to me and present me with the truth, the... </s> thank you, it's brighten up my day, truly. and since you've mentioned it, would you mind to explain about ni, te, etc? i've read some about it, but people explain it in complicated way. would you... </s> ahhh, i see.. really? what part of australia? i've once have friend from west australian, fremantle but i never been to australia myself. we're sent email to each other. </s> wait, sorry, get a bit lost here. what is it with cat and nf? i'm happy t hear that yiu glad with some <mbti> new comrad 😉"	"15"	"1"	"0"	"0"	"1"	"truee,, hell no, we failed the tests without using our brain to the maximum degree. i ' m imagining what we can accomplised when you used our brain into a max capacity. maybe we can rule the world.... </s> i know what you mean. for example i ' am working in the hospital as med - school student, a facility where patients need to respons to emotion. in my work place, they do caring to every patient, listen to their... </s> but somehow stil manage to have this good mark, well at least to the test.. ha </s> hopefully i ' m smart enough i meet some [UNK] in my life : ) </s> and truueee, hahaha.. worst case though. you know, test.. while my mom ready to cry her heart out because she ' think ' she can ' t do the test because they can ' ll do 10 question out of 100, and... </s> really? hahahaha,, who says that they ' r 7 people who ' s identical with us.. </s> 301514 is from 2 years ago,, </s> 301482 i found the picture awesome. since they all feeling fucked up actually smile we have to smile. the hardest thing for me is how to keep my face straight / smile when i really want and punch someone... </s> hi there, not the first time i ' m so confused about myself but then i took the test and then i realize... i ' m just [UNK]. * qualified for personality test and loud.. i ' m 24 years old, female. [UNK]... </s> it ' t java island, east jave to be sure. it ' s near bali island </s> thank you seriously guys, you ' ve open my eyes. and it ' s nice to finally talk to someone whom will put me seriously. and who will speak to me and to me and present me with the truth, the... </s> thank you, it ' s brighten up the day, truly. and since you ' ve seen it, would you mind to chat about you, te, si? i ' ve read some about it, but people explain everything in complicated way. would you... </s> ahhh, i see.. where? what else is australia? i ' ve once have friend in west australian, australia but i never been to australia myself. we ' re sent email to each other. </s> wait, sorry, getting a lot lost here. what is it with cat and nf? i ' m happy t is that yiu glad with some [UNK] [UNK] comrad [UNK]"
"missed that. it doesn't sound like your typical <mbti>. at all, as i said way to neurotic. <mbti>? maybe. </s> he's probably just trying to figure stuff out, what directions things will go and also input for future relationships. we're not nearly as neurotic as you guys are, so you can remove the... </s> you bet i'm getting there, this bad boy is on his way 🆒 </s> great info. it's kind of interesting how 6 will tend to want to give what they themselves need, well humans do but yeah. just like you wrote sp 6 can act like a 2. my <mbti> sp6 friend really is... </s> gender is definitely a factor in how risk averse you are and also potentially how honest you can be about it as well 😉 makes sense. probably why a lot of 6 wants to become guides... </s> yes, it seems as <mbti> 6s are more concerned with trusting people and not so much with navigating the real world, which makes sense. thanks for your input, it's been helpful :) </s> yes, but then you're sp first as well :) </s> by being in control, do you mean being independent? </s> and what makes you feel secure and comfortable? how does the insecurity and nervousness manifest internally and externally? </s> makes sense. sounds more <mbti> than 6. so how does the 6 manifest in your day to day life? </s> here's a quote from the do i sound <mbti> thread, which got me thinking about how enneagram 6 and <mbti> go with the flow attitude is kind of opposite in ways. how do istps enneagram 6s go about... </s> well sure, if you're going to do skydiving you're probably not going to do it completely uninformed. don't you think there's a difference between doing a quick research (i.e. checking the map... </s> if you're a 4 then it's pretty likely that you're a fi-dom. i can't see you using ti at all. sounds a lot like a 6 would do, maybe an <mbti> 6 could say something about it, but it doesn't... </s> turnon: <mbti>, <mbti> girls are cool as well. turnoff: <mbti> for sure - the more time i spend with them the less i like them and they like me."	"15"	"1"	"0"	"0"	"1"	"missed u. it doesn ' t sound quite your typical [UNK]. at all, as i said way to neurotic. [UNK]? ᴰ. </s> he ' s probably just trying to figure stuff out, what directions they will go and what input onto future relationships. we ' re not nearly as neurotic than you guys are, so you can have the... </s> you bet i ' t not there, this bad boy is on his way [UNK] </s> great info. it ' is kind and interesting how 6 will have to want to give anything they themselves need, well humans do but yeah. just like you wrote sp 6 can act like a 2. my [UNK] sp6 friend really is... </s> gender is definitely a factor in how risk sensitive you are and also potentially very honest you can be about it as well [UNK] makes sense. [UNK] why a lot of 6 hours to write guides... </s> yes, it appears as [UNK] 6s are more experienced with trusting people and not too much with navigating the real world, which makes sense. thanks for your input, she ' s been helpful : ) </s> yes, but then you ' re sp first... well : ) </s> by being in charge, do you mean being independent? </s> and what makes you feel comfortable and comfortable? how did the insecurity and nervousness manifest internally or externally? </s> makes sense. sounds nearer [UNK] than 6. so how did the 6 manifest in your day to night life? </s> here ' s a quote from the do i sound [UNK] thread, which got me thinking about how enneagram 6 and [UNK] go with the word attitude is kind and opposite of meaning. how do istps enneagram 6s are [UNK]... </s> well sure, if you ' re going to do skydiving you ' ll probably not going tae do it being uninformed. don ' k you think there ' s a difference between doing a quick survey ( i. e. checking the map... </s> if you ' s a 4 then it ' s pretty likely that you ' re a fi - dom. i can ' t see you using that for all. sounds a lot like a 6 would do, maybe an [UNK] 7 could do something about it, but it doesn ' ts... </s> refrain : [UNK], [UNK] girls are cool as well. turnoff : [UNK] not sure - the more time i spend with them the less i like they and they like me."
"probably because you have a nice life. there's not much to really be afraid of. </s> some of those 2 statements are not specific to 2, e.g.: may enjoy multitasking, keeping several threads or projects going at once. </s> the number of items with at least one bolded word: 2w1: ++++ 2w3: +++ 6w5: ++ 6w7: ++++++++ based on that informal measure, you should be giving the most attention to 6w7. </s> i'm not sure if we disagree on anything important. i do think pv is a 6. so if her childhood behavior fits 6, then that's even better. </s> i have to confess to not reading all that you post on this issue. that being said, i still think of you as a 6, so i automatically agree whenever you say that you resemble 6. </s> i couldn't really fit the part about you flaunting your differences into 9. except that 9s are stubborn. as far as the other parts: she is strong minded and cannot be swayed easily. -- 9s are... </s> i think this could be a type-9 soul child. the rest was tl;dr sorry </s> again, i hate terrorism and terrorists and i can't wait until this stops dominating the news.:frustrating: </s> those are pretty nice pictures. you might be a 7 after all.🆒 </s> she has a knack for catching the dogs in nice poses and with nice expressions. here's another masterpiece:... </s> the most defining characteristic of 1 is the anger/wrath imo. i can feel some of that anger coming through in your post. 😉 </s> ^^ this made me lol. i was perfectly happy with my type. i was already aware of what my personality was like, so there were no surprises there. i was just happy that the enneagram had a type that... </s> your cat pictures are very nice, but they are definitely not 7ish. this is a picture that my sister took. it is 7ish:... </s> i think it actually crossed my mind at one point that you could be a 7. of course, i took a picture of a cat once, and it didn't make me a 7. so it's not automatic. </s> i dislike the idea of tritype. </s> speaking of saying anything that comes to mind-- whatever happened to fair phantom? animal is it really that you like this thread, or is it more that you like the idea of liking this thread?:kitteh:"	"15"	"1"	"0"	"0"	"1"	"probably because you have this nice life. there ' s not much to really be proud of. </s> one of those 2 exist but not specific to 2, e. g. : may enjoy multitasking, keeping several threads or projects going at it. </s> the number of words with at least one bolded element : 5 : + + + + 6 : + + + 6w5 : + + 6w7 : + + + + + + + + based on that time measure, you should get given the most attention to 6w7. </s> i ' m not asking if we disagree on anything important. i do think it is a 6. so if her childhood behavior becomes 6, then that ' s even better. </s> i have must confess to not reading all of you post about this issue. that is said, i still think of you as a 6, so i automatically agree whenever you say that you resemble 6. </s> i couldn ' t really fit the part about you flaunting their differences into 9. except that 9s are stubborn. as far as the other girls : she is strong minded and should be swayed easily. - - there are... </s> i think this could represent your type - 9 soul child. the rest was tl ; dr sorry </s> again, i hate terrorism and terrorists and i can ' t wait until this stops dominating the news. : frustrating : </s> they are pretty nice pictures. you might make a 7 after all. [UNK] </s> she has a knack for catching stray dogs in nice manners and with nice expressions. here ' s another masterpiece :... </s> the most defining characteristic of 1 is the anger / hatred imo. 1 can feel some of that anger coming through in your mind. [UNK] </s> ^ ^ this leaves us sad. i is perfectly happy with my type. i was already aware of what my personality was like, so there seemed no surprises there. i was just happy that the enneagram had a type that... </s> your cat pictures are very nice, but they are definitely... 7ish. this is my picture that her sister took. she is 7ish :... </s> i think i actually crossed my mind at that point that you could get a 7. of course, i took a picture of a cat once, and it didn ' t make me a 7. so it ' s not automatic. </s> many dislike the idea of tritype. </s> but before saying anything that sprang to mind - - whatever happened to fair phantom? animal is it really that you like this thread, or is it more like you like the idea for liking this thread? : kitteh :"
"quite a bit of differences. in this general bio of both types i have here, you can already make quite the list portrait of an <mbti> portrait of an <mbti> the biggest difference i'd say is with... </s> i've dealt with people in general solely using my social mask. due to me being raised by a family of feelers, i act friendly and set up a camaraderie. hell, in my younger years it was all that i...'"	"15"	"1"	"0"	"0"	"1"	"quite a bit of differences. in this general bio of the types i have here, you can easily make quite the list picture of an [UNK] portrait of an [UNK] [UNK] only difference i ' d say is with... </s> i ' ve dealt with people in general without using their social mask. due to me being raised by a family of feelers, i stayed friendly and set up good camaraderie. hell, in my younger years it was all just i... '"
"man, watching guys go after a girl is just ridiculous. especially in my aircraft maintenance campus. eeesh. leave the girl alone you horny fucks. </s> okay that sort of sounds like me. but let me tell you from my perspective. (hopefully i can relate to him) i'm currently in school monday-friday, 8-3 studying aircraft maintenance and this has... </s> you know what really grinds my gears? when you're talking to someone who doesn't even know who elon musk, spacex, tesla, or paypal is; even though they follow the news and current events. i... </s> honestly, it's the field that i'm studying in. gotta maintain a certain physique to be able to handle heavy components. (aircraft maintenance) but also because i've got a few classmates that are... </s> i have an <mbti> friend. they definitely brighten the mood in conversations but aren't very thick-skinned. the one i know is a tad uneducated but may be attributed to her upbringing/early life... </s> this will sound crazy and hilarious to you. but as a kid i wanted to build a real gundam. yes, the mecha robot anime one. i'm now in school for aircraft maintenance. next best thing, right? </s> i'm 3/4 done my schooling for aircraft maintenance. (bcit :happy:) although i'm not actually in the workforce yet... the job is about carrying out repairs, overhauls, or inspections done in... </s> how i handled my life 3 years ago was definitely a wake up call on how much of a drag i was on for those i was leaning on. </s> sometimes i feel like reverting back to the old shell i crawled out of 3 years ago, but then i always realize that the old me was a loser. are istps known for their responsibilities or is it just... </s> i was in the same exact shoes as yourself. i lost all my drive after high school after being pressured to go into post-secondary by my parents. i was also somewhat intimidated that i had 3... </s> although i'm not in high school anymore, nor a female; i've noticed a cutthroat trend amongst adolescent students that want to 'stand out'. this is mainly fueled by social media. there really..."	"15"	"1"	"0"	"0"	"1"	"man, watching guys go after a girl is just ridiculous. especially from my self maintenance campus. eeesh. leaving the girl alone you two fucks. </s> okay that sort of sounds beyond me. but let me help you from my perspective. ( hopefully i can relate to it ) i ' m currently teaching school monday - friday, 8 - 3 months aircraft maintenance and this has... </s> you know that really grinds your gears? when you ' re talking like someone who doesn ' t even know who franklin musk, spacex, google, or paypal is ; even though people follow the news and current events. i... </s> honestly, it ' s the field that i ' m studying in. gotta maintain a strong physique to being able to handle heavy components. ( aircraft maintenance ) but also because i ' ve got a few others who say... </s> i have an [UNK] friend. they definitely brighten our mood in conversations but aren ' t very olive - skinned. the one i know is a tad different which may be attributed to her birth / early life... </s> this will sound crazy and scary without you. but as a kid i wanted to build a real gundam. so, the mecha robot anime one. i ' m now in school for self maintenance. next best thing, right? </s> you ' ll 3 / 4 done my schooling for aircraft maintenance. ( bcit : happy : ) although i ' m not actually in the workforce yet... the job is about carrying out repairs, repairs, etc inspections... in... </s> how i handled my life 3 years ago was like a wake up call on how much of a drag i put on for those i was dependent on. </s> sometimes i feel like reverting over to an old shell i crawled out of 3 years ago, but then i always realize that the old me was a ghost. are istps known for their responsibilities or is it just... </s> i was in the same exact situation for yourself. i lost half my drive after high school after being pressured to go into post - secondary by my parents. i was also somewhat surprised that i had 3... </s> although i ' m not in high school anymore, still a female ; i ' ve noticed a cutthroat trend amongst adolescent males that tends to ' stand out '. this is mainly caused by social media. there really..."
"at least with texts you have time to think of a response, whether it takes 5 minutes or a half hour lol. the absolute worst is when you're face to face and they start making random statements about... </s> you're not an asshole. it's respectable not to want children, no matter the reason. but is death really that big of a negative? schizoid your post reminds me of this image 613130 it's a bit hard... </s> agreed. i was shocked when he made the comment, especially since it wasn't that i didn't smile, just that i wasn't fast enough. like, don't criticize my smile game, a fast smile is a sloppy smile!... </s> just got lectured by some random dude because i didn't smile fast enough. like, dude, i'm sorry i didn't smile the moment we made eye contact, it's dark and i wasn't prepared to make eye contact.... </s> it depends how much i want it. i can be pretty passive and just let it go. but if i see value in it i'll work my ass off, i might even hurt others if they're in my way. but if i stop seeing value in... </s> netflix protests mcdonalds (there's a lot of places to eat around here, why there?) gossip reality tv the kardashians safe spaces </s> spore sent from my iphone using tapatalk </s> i kind of romanticize non existence. it just sounds so pleasant. i prefer that over an eternal afterlife which sounds so dull... sent from my iphone using tapatalk </s> the big question: is today the day my 4 yr old cousin finally stabs me, or is he still all talk? sent from my iphone using tapatalk </s> that's always a fun combination for somebody to have. especially from a distance. where they can be observed, and not mingled with. you should take pride in it, you've been working hard to... </s> that test felt too easy. either i aced it, or i completely bombed it. sent from my iphone using tapatalk </s> intimacy is the big one. sent from my iphone using tapatalk </s> ah, shit. it's snowing and i'm soaked! too bad my car is 2 miles away :dry: on the bright side, winter is finally here :d sent from my iphone using tapatalk'"	"15"	"1"	"0"	"0"	"1"	"at least with texts you had time for think of your response, whether it takes 5 minutes or a half hour lol. the absolute exception is when you ' re face to face and they start making random statements...... </s> you ' are not an asshole. it ' s important not to want children, any matter the reason. but is death really this big of a negative? schizoid facebook post reminds me of this image... it ' s a bit hard... </s> agreed. everyone was shocked when he made the comment, especially since it wasn ' t that i didn ' t smile, just that i ain ' t fast enough. like, don ' t criticize my smile game, a big smile and a sloppy smile!... </s> just being lectured by that random dude because i wouldn ' t smile long enough. like, dude, i ' m sorry i didn ' t smile the moment i made eye contact, it ' s weird and i wasn ' t prepared to make eye contact.... </s> it depends how much i want it. people can be pretty passive and just let it go. but if i see it in it i ' ll work my ass off, i might even hurt somebody when they ' re in my way. but when i stop seeing value in... </s> netflix dvds mcdonalds ( there ' s a lot of room to go around here, why there? ) gossip reality tv the kardashians safe ॥ </s> spore sent over my iphone using tapatalk </s> i kind of romanticize non existence. it just sounds so pleasant. i prefer that over an alternate afterlife which feels so dull... sent from my iphone using tap </s> a big question : is today the time my 4 yr old cousin finally stabs me, or is he still to talk? sent from my mother using tapatalk </s> that ' s always a difficult combination with somebody to have. especially from a distance. where they can be observed, and not mingled with. you should take pride in it, and ' ve really working hard to... </s> that test felt too easy. either i aced it, or i completely killed myself. downloaded from my iphone using tapatalk </s> this is the big one. sent from my heart using tapatalk </s> ah, shit. it ' t snowing and i ' m soaked! too bad my car is 2 miles away : dry : on the bright side, winter is finally here : d sent me my iphone using tapatalk '"
"'fiend! </s> ...and yet i notice its absence from this message :) </s> omg please tell me you can turn this signature thing off on the device sent from my sgh-t999n using tapatalk. seen a few people on here with it. bothering me even more than poor grammar and... </s> speaking of red hair, please do send all the attractive, <mbti> liking, red haired women my way :proud: </s> i'm stuck at the boss on level 6 :( </s> for me, i'll have to disagree with most of my brethren.. to some extent. i'm not sure if it's an <mbti> thing or more to do with how i was brought up, but i don't get stressed easily or at least i... </s> whaaat? don't scare me like that! i've never even been engaged. where did you get that idea from? :) </s> they bother me, but i can't be bothered correcting them any more. </s> yes, please! it's been too long! :d </s> sounds like you have a plan and you're sticking to it +1! i have similar anxiety about it, but some kind of instinct in me is really wanting one lately. </s> hmm, in group situations i'll often know the answer but just not be bothered to speak it. i let other people answer it out loud. if i know i know it, that's usually enough for me. i don't need to... </s> oh that's hilarious! :d this sounds surprisingly accurate too, but even though where i am living now has a really low number of female profiles (none of them particularly interesting), i think... </s> okc has just been a big failboat for me. still on it. not sure why :) </s> then i stay sitting until i don't have to stop walking :d wow i'm so lazy! :d </s> i agree with this statement ^^ </s> you know you're an <mbti> when you stand up from your seat on the metro and reach the door to press the open door button at the exact time the train stops. no energy wasted :p </s> totally. i often catch myself completely absorbed with a girl. and for some reason i just can't look away. not in a creepy stare kind of way either. just seriously captivated by the way they look and... </s> lego and the smell of the perfume of the one that got away. am i doing it right?? ;d </s> not from a gun culture myself so don't have a thing for them either way."	"15"	"1"	"0"	"0"	"1"	"' oh! </s> ... and yet i see its absence from this message : ) </s> omg please tell me you can drop that signature thing off on the device or from my sgh - com using you. seen a couple people on here with it. bothering me even more than poor grammar and... </s> speaking of your hair, please do send all the flowers, [UNK] liking, red haired women my dear : proud : </s> i ' s stuck at your boss on level 6 : ( </s> like me, i ' ll have too disagree with most of my brethren.. to some extent. i ' m never sure if it ' s an [UNK] thing or more to do with how i was brought up, but i don ' t got stressed easily or at least i... </s> why? don ' t scare me for that! i ' ve never even been kissed. when did you get that idea from? : ) </s> they like me, but i can ' t be bothered about them any more. </s> yes, please! it ' d been too long! : d </s> sounds like you have a plan and you ' re on to 2 + 1! i have similar anxiety about it, but some kind of thing in me is really wanting one lately. </s> hmm, in most situations i ' ll either question the answer or just not be bothered or speak it. i let other people answer it out loud. if i think i know it, that ' s usually enough for me. i don ' t need to... </s> oh this ' s hilarious! : d this sounds surprisingly accurate too, but even though where i am right now has a really low number of female profiles ( none of them very interesting ), i think... </s> okc has just been the big failboat for me. thinking on it. not sure why : ) </s> then i stay sitting so i don ' n have to stop walking : d wow i ' m being lazy! : d </s> we agree with this statement ^ ^ </s> you know you ' re an [UNK] when you stand up from your place on the platform and reach the door to press the open red button at an exact time the train stops. no energy wasted : p </s> b. i often catch myself completely absorbed with a girl. and for some reason i just can ' t look away. not with a creepy stare sort of way either. just seriously captivated by that way they look together... </s> lego and the smell of the sea is the one that got away. are i doing it right?? ; d </s> not from a gun culture myself and don ' t have a thing for them either way."
"it's not about other people judging you, it's about you not standing up for yourself in real life. good enough?'"	"15"	"1"	"0"	"0"	"1"	"it ' s not about other people judging me, it ' s about you not standing up for yourself in real life. any friends? '"
"... video? nah, too shy for that! :blushed: (and here i am, dreaming of becoming an actress, oh gosh!) hi! nice to have you around! are you sure that you don't know of many isfps in real-life?... </s> but no, i don't think you understand: i haven't actually changed the dead lightbulb in my bedroom for over six months. (thankfully, i have little white christmas lights up so it's never too dark to...'"	"15"	"1"	"0"	"0"	"1"	"... video? nah, too shy for that! : blushed : ( and here i is, dreaming of becoming an actress, oh my! ) wow! good to have friends around! are you sure that you won ' t know of many isfps in real - life?... </s> but no, i don ' t think you understand : i haven ' t actually changed the single lightbulb in my bedroom in over six months. ( thankfully, i leave the white christmas lights on so that ' s never too dark to... '"
