"post"	"labels"	"I"	"N"	"F"	"P"	"post_augmented"
"mechanic's okay, never had problems with it, although i remember someone saying diagnostic, and i'd say that term's better. </s> if you were to choose your own type, which type would it be? </s> i imagine one could mistype as the other if they were confused about pvj or svn. and yes, neglecting food is a thing. i've done that as well, although since i'm not as busy it hasn't happened as... </s> i'd say so. i really don't know why or how, but i just see a lot of <mbti>'s being drawn to <mbti>'s around here. i've seen the many questions, it's pretty odd. </s> i bought a bunch of flannel t-shirts over the summer, and it's what i wear to school now, along with black pants. i also plan on perhaps getting a crop top or two when i reach my goal weight... </s> i'm more content than happy. only time i'm happy is when i complete a goal, and when i exercise. pretty much it. </s> akin to what barathrum said, what feelings? for any moment they do appear, i only keep them for myself because i want to solve it first. there are two scenarios for which i share my feelings... </s> not the most direct of lies, but definetely interesting. in middle school i was sitting on on blue tables. friend 1 of right was to the right of me, and then there were two other girls, one... </s> perhaps in dreamland, that trick worked. this is not dreamland. thought you knew about the virus that will get in the way of it's technical problem-solving abilities. the whole folder was... </s> it's basically you cut an eggplant in half, take some of the inside out, and fill it in with whatever the hell you want. once you fry your eggplant and put the filling in, you put it in the oven to... </s> *opens file love_infp.gif* . . . . 386922 </s> i've never met an <mbti> in real life either, but considering you're type i'd probably get along with you. i've always loved science since i was little, i love the various branches, but biology has... </s> those statistics i've heard about people crying 5 times a month on average i'm wondering what the hell is going on with their lives because i never cry. the most i'd do is once a year now, but..."	"15"	"1"	"0"	"0"	"1"	"mechanic ' s okay, had never problems with, it although remember i saying someone diagnostic, and i ' d term say that ' s. better </s> if you were to your choose own, type which would type it be? </s> i imagine one could mistype as the other if they were about confused pvj or. svn and, neglecting yes food is a thing i. ' done ve as that well, although since i ' m not as busy it hasn t '. happened as.. </s> ' I d. say so i really don ' t know why how or, i but just see lot a of <mbti> ' s being drawn to <mbti> ' s here around. i ' ve seen many the questions, it s ' pretty. odd </s> i bought a bunch of flannel t - shirts over summer the, it and ' what s i wear to school now, along with black pants. also i on plan perhaps a getting crop or top when two i my reach goal. weight.. </s> m I ' more content than happy. only time i ' happy m is when i complete a, when goal and i exercise. much pretty it. </s> akin to barathrum said what what, feelings? any for moment they do appear, i only them keep for myself because want i to solve it first. there are two scenarios for which i share my feelings. .. </s> not the direct most of lies, but definetely. interesting in middle school was i sitting on on blue tables. friend 1 of was right to the right of, me and there then were two other, girls one. .. </s> perhaps in, dreamland that trick worked. this is not. dreamland thought you knew about virus the that will get in the way of it ' s problem technical solving -. abilities the whole folder was. .. </s> it s ' basically you an cut in eggplant half, take some of the inside out, it and fill in with the whatever hell want you. once you your fry eggplant and put the filling in, put you it in the to oven. .. </s> * file opens. gif love_infp *. .. 386922. </s> i ' never ve met an <mbti> in life real either, but considering you ' type re i ' probably d get along with you. i ' always ve loved science since i little was i love, the various, branches but biology. has.. </s> those statistics i ve ' about heard people crying 5 times a on month i average ' wondering m what the hell is going on their with lives because i never cry. the most ' i d do is once a now year, but. .."
"truee,, hell yeah, we pass the test without using our brain to the maximum capacity. i'm imagining what we can accomplised when we used our brain into the max capacity. maybe we can rule the world.... </s> i know what you mean. for example i'm working in the hospital as med-school student, a place where i need to respons human emotion. in my work place, i do caring to my patient, listen to their... </s> but somehow stil manage to have a good mark, well at least pass the test.. hahahaha </s> hopefully i'm lucky enough to meet some <mbti> in my life :) </s> so truueee, hahaha.. different case though. you know, test.. while my friend ready to cry her heart out because she 'think' she can't do the test because she can't answer 10 question out of 100, and... </s> really? hahahaha,, someone says that there're 7 people who's identical with us.. </s> 301514 photo from 2 years ago,, </s> 301482 i found this picture awesome. when we all feeling fucked up actually but we have to smile. the hardest thing for me is how to keep my face straight/smile when i really want to punch someone... </s> hi there, for the first time i'm so confused about myself but then i took the test and then i realize that i'm just <mbti>. *thanks for personality test out there.. i'm 24 years old, female. live... </s> it's java island, east jave to be precised. it's near bali island </s> thank you seriously guys, you've open my eyes. and it's nice to finally talk to someone who will take me seriously. people who can talk to me straighfowardly to me and present me with the truth, the... </s> thank you, it's brighten up my day, truly. and since you've mentioned it, would you mind to explain about ni, te, etc? i've read some about it, but people explain it in complicated way. would you... </s> ahhh, i see.. really? what part of australia? i've once have friend from west australian, fremantle but i never been to australia myself. we're sent email to each other. </s> wait, sorry, get a bit lost here. what is it with cat and nf? i'm happy t hear that yiu glad with some <mbti> new comrad 😉"	"15"	"1"	"0"	"0"	"1"	"truee, , yeah hell, pass we the without test using our brain to the maximum capacity. m i imagining ' what we can accomplised when we brain used our into max capacity the. maybe we can rule the world. ... </s> i know what you mean. for example i ' m working in the hospital as med school -, student a where place i to need human respons emotion in. my place work, i do caring to my patient, listen their to. .. </s> somehow but stil manage to have good mark a, at well least the pass test. hahahaha. </s> I hopefully m ' lucky enough meet to some in my <mbti> life: ) </s> so, truueee hahaha. . different case though. you know, test. . while my friend to cry ready her heart because out ' she ' she think can ' t do the test because can she ' answer t 10 question out 100 of, and. .. </s> ? really hahahaha, , says there someone that ' re 7 who people ' with s identical us.. </s> 301514 from photo years ago 2,, </s> 301482 i found this awesome picture when. we fucked all feeling actually up we but have to. smile the hardest thing for is me how keep my to face straight / smile when i really want to punch someone. .. </s> hi, there the for first i time ' m so confused about but myself then i took the test and then realize i that i ' m <mbti> just. * thanks for personality there test out. . i ' 24 m years old, female live. ... </s> it s java ' island, east to jave be. it precised ' s bali near island </s> thank you guys seriously, you ' my ve eyes open. and it ' s nice finally to talk someone to who will take seriously me. who people talk can to me straighfowardly to me and present me the with truth, the. .. </s> you thank, it ' brighten s my up day, truly. since and you ' ve mentioned it, would you mind explain to about ni, te, etc? i ' read ve about some it, but people explain in it way complicated would. you. .. </s> , ahhh i see. . what really? part australia of? ' i once ve have friend from australian west, fremantle but i never been to myself australia. we ' sent re email to other each. </s> , wait sorry get, a lost bit here. what it is with and cat nf? i ' m happy t that yiu hear glad with <mbti> some comrad 😉 new"
"missed that. it doesn't sound like your typical <mbti>. at all, as i said way to neurotic. <mbti>? maybe. </s> he's probably just trying to figure stuff out, what directions things will go and also input for future relationships. we're not nearly as neurotic as you guys are, so you can remove the... </s> you bet i'm getting there, this bad boy is on his way 🆒 </s> great info. it's kind of interesting how 6 will tend to want to give what they themselves need, well humans do but yeah. just like you wrote sp 6 can act like a 2. my <mbti> sp6 friend really is... </s> gender is definitely a factor in how risk averse you are and also potentially how honest you can be about it as well 😉 makes sense. probably why a lot of 6 wants to become guides... </s> yes, it seems as <mbti> 6s are more concerned with trusting people and not so much with navigating the real world, which makes sense. thanks for your input, it's been helpful :) </s> yes, but then you're sp first as well :) </s> by being in control, do you mean being independent? </s> and what makes you feel secure and comfortable? how does the insecurity and nervousness manifest internally and externally? </s> makes sense. sounds more <mbti> than 6. so how does the 6 manifest in your day to day life? </s> here's a quote from the do i sound <mbti> thread, which got me thinking about how enneagram 6 and <mbti> go with the flow attitude is kind of opposite in ways. how do istps enneagram 6s go about... </s> well sure, if you're going to do skydiving you're probably not going to do it completely uninformed. don't you think there's a difference between doing a quick research (i.e. checking the map... </s> if you're a 4 then it's pretty likely that you're a fi-dom. i can't see you using ti at all. sounds a lot like a 6 would do, maybe an <mbti> 6 could say something about it, but it doesn't... </s> turnon: <mbti>, <mbti> girls are cool as well. turnoff: <mbti> for sure - the more time i spend with them the less i like them and they like me."	"15"	"1"	"0"	"0"	"1"	"missed. that it doesn ' sound t typical like your <mbti> at all. , as i way said to neurotic. <mbti>? maybe. </s> ' he s probably just trying to figure stuff, out directions what things will go and for also input future relationships. we ' not re as nearly neurotic as you guys are, so you can remove. the.. </s> bet you ' i m getting there this, bad boy his is on way 🆒 </s> info great. it ' kind s of how interesting will 6 tend to want to give what themselves they need, do well humans but yeah just. you like wrote sp 6 can act like a 2. my <mbti> sp6 really friend is. .. </s> gender is definitely in a factor how risk averse you are and potentially also honest how you can be it as about well 😉 makes sense. probably a why lot of wants 6 become guides to. .. </s> yes, it seems as <mbti> 6s concerned more are with trusting people so and not much with the real navigating world, which makes. sense thanks your for input, ' it s been helpful: ) </s> , yes but you then re ' sp as first well: ) </s> in by being control, do you mean being independent? </s> and what makes you feel comfortable secure and? how the does and insecurity nervousness manifest internally? and externally </s> makes sense. sounds more <mbti> than 6. so how does the manifest 6 in your day day to? life </s> ' here s a quote from the do sound i <mbti> thread, which got me thinking how about enneagram and 6 <mbti> go with the flow is attitude kind of opposite in how ways. istps do enneagram go 6s. about.. </s> well, sure if ' you re going to do you skydiving ' probably re not going to do completely it uninformed. don ' t you think there s ' a between difference a doing quick research (i. e. checking. the map.. </s> if you ' a re then 4 it ' s pretty likely you ' that a re fi - dom. can i ' t see you using at ti all. sounds a lot like a 6 would do, an maybe <mbti> 6 could say something it about, it but doesn ' t. .. </s> : turnon <mbti>, girls <mbti> cool are as well. : turnoff <mbti> for sure - the time more spend i them the with less like i and them they like me."
"probably because you have a nice life. there's not much to really be afraid of. </s> some of those 2 statements are not specific to 2, e.g.: may enjoy multitasking, keeping several threads or projects going at once. </s> the number of items with at least one bolded word: 2w1: ++++ 2w3: +++ 6w5: ++ 6w7: ++++++++ based on that informal measure, you should be giving the most attention to 6w7. </s> i'm not sure if we disagree on anything important. i do think pv is a 6. so if her childhood behavior fits 6, then that's even better. </s> i have to confess to not reading all that you post on this issue. that being said, i still think of you as a 6, so i automatically agree whenever you say that you resemble 6. </s> i couldn't really fit the part about you flaunting your differences into 9. except that 9s are stubborn. as far as the other parts: she is strong minded and cannot be swayed easily. -- 9s are... </s> i think this could be a type-9 soul child. the rest was tl;dr sorry </s> again, i hate terrorism and terrorists and i can't wait until this stops dominating the news.:frustrating: </s> those are pretty nice pictures. you might be a 7 after all.🆒 </s> she has a knack for catching the dogs in nice poses and with nice expressions. here's another masterpiece:... </s> the most defining characteristic of 1 is the anger/wrath imo. i can feel some of that anger coming through in your post. 😉 </s> ^^ this made me lol. i was perfectly happy with my type. i was already aware of what my personality was like, so there were no surprises there. i was just happy that the enneagram had a type that... </s> your cat pictures are very nice, but they are definitely not 7ish. this is a picture that my sister took. it is 7ish:... </s> i think it actually crossed my mind at one point that you could be a 7. of course, i took a picture of a cat once, and it didn't make me a 7. so it's not automatic. </s> i dislike the idea of tritype. </s> speaking of saying anything that comes to mind-- whatever happened to fair phantom? animal is it really that you like this thread, or is it more that you like the idea of liking this thread?:kitteh:"	"15"	"1"	"0"	"0"	"1"	"probably because you nice have a. life there ' s much not really to be of afraid. </s> some those of statements 2 are not to specific 2 e, g. . may: enjoy multitasking, keeping several threads or going projects at once. </s> Of the number items with least at bolded word one: 2w1: + + + + 2w3: + + + 6w5: + +: 6w7 + + + + + + + + based on that informal measure, should be you giving the to most attention 6w7. </s> ' I m not sure we if on disagree anything. i important do think is pv a. 6 if so her childhood behavior fits 6, then that s ' even. better </s> to I have confess to not reading that all post you on this issue. that being said, i still think you of a as, 6 so i automatically agree whenever you say that resemble you 6. </s> i ' couldn t really fit the part about you your flaunting 9 differences into. except 9s that stubborn are. as far as the parts she other: is strong minded and cannot swayed be easily. - - 9s are. .. </s> i this could be a think type - 9 soul child. the rest was tl; dr sorry </s> again i, terrorism hate and i terrorists and ' can t wait this until stops dominating the news. frustrating:: </s> those pretty are nice pictures you. might a 7 be after all 🆒. </s> she a knack has catching for the dogs poses in and nice with nice expressions here. ' s masterpiece another: ... </s> most defining the characteristic of 1 anger is the / wrath imo. i can some feel of anger that coming through your in post. 😉 </s> ^ ^ this me made lol. i was perfectly with happy my type. i was already of aware what my personality like was, there so were surprises no there. i was just happy that enneagram the had a that type. .. </s> pictures your cat very are nice, they but are not definitely 7ish. this is a picture that my sister took. it is 7ish: ... </s> i think it actually crossed my mind at one point that you be could a 7 of. course, i took picture a a of cat once, and didn it ' make t a me 7. it so ' s not automatic. </s> dislike I the idea of tritype. </s> speaking of anything saying that to comes mind - - whatever happened to fair phantom? animal it is really that like this you thread, or is it more you that like the idea liking of thread? this kitteh::"
"quite a bit of differences. in this general bio of both types i have here, you can already make quite the list portrait of an <mbti> portrait of an <mbti> the biggest difference i'd say is with... </s> i've dealt with people in general solely using my social mask. due to me being raised by a family of feelers, i act friendly and set up a camaraderie. hell, in my younger years it was all that i...'"	"15"	"1"	"0"	"0"	"1"	"quite a bit of differences. in general this bio of both types i have here, can you already make quite the list an portrait of portrait of <mbti> an <mbti> the biggest difference i ' d with say is. .. </s> i ' ve with dealt in people general solely using my social mask. due to being me raised a by of family, feelers i act friendly set and up a camaraderie. hell, in my years younger it was all that i. .. '"
"man, watching guys go after a girl is just ridiculous. especially in my aircraft maintenance campus. eeesh. leave the girl alone you horny fucks. </s> okay that sort of sounds like me. but let me tell you from my perspective. (hopefully i can relate to him) i'm currently in school monday-friday, 8-3 studying aircraft maintenance and this has... </s> you know what really grinds my gears? when you're talking to someone who doesn't even know who elon musk, spacex, tesla, or paypal is; even though they follow the news and current events. i... </s> honestly, it's the field that i'm studying in. gotta maintain a certain physique to be able to handle heavy components. (aircraft maintenance) but also because i've got a few classmates that are... </s> i have an <mbti> friend. they definitely brighten the mood in conversations but aren't very thick-skinned. the one i know is a tad uneducated but may be attributed to her upbringing/early life... </s> this will sound crazy and hilarious to you. but as a kid i wanted to build a real gundam. yes, the mecha robot anime one. i'm now in school for aircraft maintenance. next best thing, right? </s> i'm 3/4 done my schooling for aircraft maintenance. (bcit :happy:) although i'm not actually in the workforce yet... the job is about carrying out repairs, overhauls, or inspections done in... </s> how i handled my life 3 years ago was definitely a wake up call on how much of a drag i was on for those i was leaning on. </s> sometimes i feel like reverting back to the old shell i crawled out of 3 years ago, but then i always realize that the old me was a loser. are istps known for their responsibilities or is it just... </s> i was in the same exact shoes as yourself. i lost all my drive after high school after being pressured to go into post-secondary by my parents. i was also somewhat intimidated that i had 3... </s> although i'm not in high school anymore, nor a female; i've noticed a cutthroat trend amongst adolescent students that want to 'stand out'. this is mainly fueled by social media. there really..."	"15"	"1"	"0"	"0"	"1"	", man watching go guys after girl a is just ridiculous. especially my in campus aircraft maintenance. . eeesh leave girl the you alone horny fucks. </s> okay that sort sounds of like but me. me let tell you my from perspective. (hopefully can i relate to him) ' i m currently in school monday - friday, - 8 studying 3 aircraft maintenance and has this. .. </s> Know you what really grinds my gears? when you ' re talking to someone doesn who ' t even know who musk elon, spacex, tesla or, is paypal; even follow though they the news and current. events i. .. </s> honestly it, ' s the that field i ' in m studying. a gotta maintain certain physique be to able to handle heavy components. (maintenance aircraft) also but because i ' ve a got few classmates that are. .. </s> have I an <mbti> friend they. definitely brighten the in mood conversations but aren ' t very thick - skinned. the one i know is tad a uneducated but may be attributed her to / upbringing early life. .. </s> this will sound crazy hilarious and you to but as a. kid i wanted to build gundam a real. yes, the mecha anime one robot. i ' m now in school aircraft for maintenance. next best thing, right? </s> i ' m 3 / 4 done schooling my aircraft for maintenance. (bcit: happy:) although ' i m not actually workforce in yet the. .. job the is carrying about repairs out, overhauls or, inspections done in. .. </s> I how handled my life years ago 3 was definitely a wake on up call how much of i a was drag on for those i leaning was on. </s> I feel sometimes like reverting back to the old shell i crawled out of 3 years ago, but then i always realize that the me old a was loser are. known istps their for responsibilities is or it just. .. </s> i was in same the exact shoes as. yourself lost i all drive after high my school after being pressured go to into post - secondary by my parents. i was also somewhat intimidated that i 3 had. .. </s> although m i ' not in high school anymore, a nor female i; ve ' noticed a cutthroat trend amongst adolescent students want that to ' stand out '. is this mainly by social fueled media. there. really.."
"at least with texts you have time to think of a response, whether it takes 5 minutes or a half hour lol. the absolute worst is when you're face to face and they start making random statements about... </s> you're not an asshole. it's respectable not to want children, no matter the reason. but is death really that big of a negative? schizoid your post reminds me of this image 613130 it's a bit hard... </s> agreed. i was shocked when he made the comment, especially since it wasn't that i didn't smile, just that i wasn't fast enough. like, don't criticize my smile game, a fast smile is a sloppy smile!... </s> just got lectured by some random dude because i didn't smile fast enough. like, dude, i'm sorry i didn't smile the moment we made eye contact, it's dark and i wasn't prepared to make eye contact.... </s> it depends how much i want it. i can be pretty passive and just let it go. but if i see value in it i'll work my ass off, i might even hurt others if they're in my way. but if i stop seeing value in... </s> netflix protests mcdonalds (there's a lot of places to eat around here, why there?) gossip reality tv the kardashians safe spaces </s> spore sent from my iphone using tapatalk </s> i kind of romanticize non existence. it just sounds so pleasant. i prefer that over an eternal afterlife which sounds so dull... sent from my iphone using tapatalk </s> the big question: is today the day my 4 yr old cousin finally stabs me, or is he still all talk? sent from my iphone using tapatalk </s> that's always a fun combination for somebody to have. especially from a distance. where they can be observed, and not mingled with. you should take pride in it, you've been working hard to... </s> that test felt too easy. either i aced it, or i completely bombed it. sent from my iphone using tapatalk </s> intimacy is the big one. sent from my iphone using tapatalk </s> ah, shit. it's snowing and i'm soaked! too bad my car is 2 miles away :dry: on the bright side, winter is finally here :d sent from my iphone using tapatalk'"	"15"	"1"	"0"	"0"	"1"	"at texts least with have you time to think a of response, it takes whether 5 minutes or half a hour lol. the worst absolute is when you face ' re to face and they start making random statements about. .. </s> ' you re not an asshole it. ' respectable s not want to children, matter no. the reason but is death really that big of a negative? your schizoid post reminds me of this 613130 image it ' a s bit hard. .. </s> agreed. i was shocked when he the made comment, especially since it ' wasn t that i didn ' t smile, that i wasn just t ' enough like fast. , don ' t criticize my game smile, a fast smile is a sloppy smile! ... </s> just by got lectured some dude random because i didn ' t smile fast enough. like, dude, i ' sorry m i didn ' t smile the moment we made eye contact, it ' s dark i and wasn ' to t prepared eye make contact. ... </s> it depends how much i want it. i can be pretty passive and just let it. go but if i see value in i it ' ll work ass my off, i might even others hurt if they ' re in my. way but if stop i value in seeing. .. </s> netflix protests mcdonalds there (s ' a lot of places eat to around why here there, ?) gossip reality the tv kardashians safe spaces </s> spore from sent iphone my tapatalk using </s> i of kind romanticize non existence. just it sounds pleasant so. prefer i that over eternal an afterlife sounds which dull so. .. my sent from iphone tapatalk using </s> Big the: is question today the day my 4 yr cousin old stabs me finally, or is he still talk all? from sent iphone my using tapatalk </s> that ' s always a combination fun somebody for to have especially. a from. distance where they can observed be, and not mingled with. you should take pride in, it you ' ve been hard working to. .. </s> test that felt easy too either. aced i it, i or completely bombed. it sent from my using iphone tapatalk </s> Intimacy is big the one. sent from iphone my using tapatalk </s> ah, shit it. s ' snowing and i ' soaked m! too bad my car is 2 miles away: dry: on the bright side, winter is finally: here sent d iphone from my tapatalk using '"
"'fiend! </s> ...and yet i notice its absence from this message :) </s> omg please tell me you can turn this signature thing off on the device sent from my sgh-t999n using tapatalk. seen a few people on here with it. bothering me even more than poor grammar and... </s> speaking of red hair, please do send all the attractive, <mbti> liking, red haired women my way :proud: </s> i'm stuck at the boss on level 6 :( </s> for me, i'll have to disagree with most of my brethren.. to some extent. i'm not sure if it's an <mbti> thing or more to do with how i was brought up, but i don't get stressed easily or at least i... </s> whaaat? don't scare me like that! i've never even been engaged. where did you get that idea from? :) </s> they bother me, but i can't be bothered correcting them any more. </s> yes, please! it's been too long! :d </s> sounds like you have a plan and you're sticking to it +1! i have similar anxiety about it, but some kind of instinct in me is really wanting one lately. </s> hmm, in group situations i'll often know the answer but just not be bothered to speak it. i let other people answer it out loud. if i know i know it, that's usually enough for me. i don't need to... </s> oh that's hilarious! :d this sounds surprisingly accurate too, but even though where i am living now has a really low number of female profiles (none of them particularly interesting), i think... </s> okc has just been a big failboat for me. still on it. not sure why :) </s> then i stay sitting until i don't have to stop walking :d wow i'm so lazy! :d </s> i agree with this statement ^^ </s> you know you're an <mbti> when you stand up from your seat on the metro and reach the door to press the open door button at the exact time the train stops. no energy wasted :p </s> totally. i often catch myself completely absorbed with a girl. and for some reason i just can't look away. not in a creepy stare kind of way either. just seriously captivated by the way they look and... </s> lego and the smell of the perfume of the one that got away. am i doing it right?? ;d </s> not from a gun culture myself so don't have a thing for them either way."	"15"	"1"	"0"	"0"	"1"	"'! fiend </s> .. and. i notice yet absence its from message this: ) </s> omg please me tell turn you can this signature thing off on the device sent my from sgh - using t999n tapatalk seen. few a on people here it with. bothering me even than more poor grammar and. .. </s> of speaking red hair, do send please the all, attractive <mbti> liking red, haired women way my: proud: </s> i m ' stuck at the boss level on 6: ( </s> for me, i ' ll have to disagree most with of my brethren. . to some. extent i ' m not sure if it ' s an <mbti> thing or more do to with i how up was brought but, i don ' t get stressed or easily at least i. .. </s> ? whaaat ' don t like scare me that! i ' ve never even been engaged where. you did get idea that from? : ) </s> they bother me, i but ' can be t correcting bothered them more any. </s> yes, please it! ' s been long too! : d </s> sounds you like a have plan you and re ' sticking it to + 1! i similar have anxiety about it, but some kind of instinct in me is really wanting one lately. </s> , hmm in group situations ' i ll often know the answer but just not be to bothered speak it i. let other people it answer out loud. if i i know know it, ' that s enough usually for me. i ' t don need to. .. </s> oh that ' s hilarious! : d this accurate sounds surprisingly too, but though where even i living am now a really has low number of female profiles (none of them particularly) interesting, i think. .. </s> has okc just a been failboat big for me still. on it. not sure why: ) </s> then i stay sitting until i don have ' to t walking stop: d i wow ' m lazy so! : d </s> I agree this with statement ^ ^ </s> you know ' you an re <mbti> when you stand your up from seat on the metro and reach the door to press open the door button at the exact time the train stops. no wasted p energy: </s> totally. often i catch completely myself absorbed a with girl. and for some reason i can just ' t. look away not in a creepy stare kind of way either just. seriously captivated the by way and they look. .. </s> And smell lego the of perfume the of the one got that away. am i doing it? right? d; </s> from not gun a culture myself so don t ' a have for thing either them way."
"it's not about other people judging you, it's about you not standing up for yourself in real life. good enough?'"	"15"	"1"	"0"	"0"	"1"	"it ' s not about people other judging you, it ' s about not you standing up for yourself in. real good life enough? '"
"... video? nah, too shy for that! :blushed: (and here i am, dreaming of becoming an actress, oh gosh!) hi! nice to have you around! are you sure that you don't know of many isfps in real-life?... </s> but no, i don't think you understand: i haven't actually changed the dead lightbulb in my bedroom for over six months. (thankfully, i have little white christmas lights up so it's never too dark to...'"	"15"	"1"	"0"	"0"	"1"	".. video. ? nah, shy too that for! : blushed: (and here i am, dreaming becoming of an actress, oh gosh!) hi! nice you to have around are! you sure that you don ' t know of many isfps in real life -? ... </s> but no, i don ' t understand think you i: haven ' t actually changed dead the lightbulb in my bedroom for over six. months (thankfully, i have white little lights christmas so up it s ' too never dark to. .. '"
